,Symbol,Company name,Security type,ISIN code,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry,hashtags,cashtags
0,MOQ,MOQ LIMITED,ORDINARY FULLY PAID,AU000000MOQ5,,,,,,,,,,#MOQ,$MOQ
1,14D,1414 DEGREES LIMITED,ORDINARY FULLY PAID,AU0000010696,,,,,,,,,,#14D,$14D
2,1ST,1ST GROUP LTD,ORDINARY FULLY PAID,AU0000001ST0,,,,,,,,,,#1ST,$1ST
3,29M,29METALSLIMITED,ORDINARY FULLY PAID,AU0000157067,,,,,,,,,,#29M,$29M
4,T3D,333D LIMITED,ORDINARY FULLY PAID,AU000000T3D6,,,,,,,,,,#T3D,$T3D
5,3MF,3D METALFORGE,ORDINARY FULLY PAID,AU0000130122,,,,,,,,,,#3MF,$3MF
6,TDO,3D OIL LIMITED,ORDINARY FULLY PAID,AU000000TDO8,,,,,,,,,,#TDO,$TDO
7,DDD,3D RESOURCES LIMITED,ORDINARY FULLY PAID,AU000000DDD5,,,,,,,,,,#DDD,$DDD
8,3PL,3P LEARNING LTD,ORDINARY FULLY PAID,AU0000003PL9,,,,,,,,,,#3PL,$3PL
9,4DX,4DMEDICAL LIMITED,ORDINARY FULLY PAID,AU0000095416,,,,,,,,,,#4DX,$4DX
10,4DS,4DS MEMORY LIMITED,ORDINARY FULLY PAID,AU0000004DS8,,,,,,,,,,#4DS,$4DS
11,88E,88 ENERGY LTD,ORDINARY FULLY PAID,AU00000088E2,,,,,,,,,,#88E,$88E
12,8CO,8COMMON LIMITED,ORDINARY FULLY PAID,AU0000008CO0,,,,,,,,,,#8CO,$8CO
13,9SP,9 SPOKES INT LIMITED,ORDINARY FULLY PAID,NZ9SPE0001S1,,,,,,,,,,#9SP,$9SP
14,92E,92ENERGY,ORDINARY FULLY PAID,AU0000139941,,,,,,,,,,#92E,$92E
15,99LAA,99 LOYALTY LTD.,ORDINARY FULLY PAID,AU0000156507,,,,,,,,,,#99LAA,$99LAA
16,ACB,A-CAP ENERGY LTD,ORDINARY FULLY PAID,AU000000ACB7,,,,,,,,,,#ACB,$ACB
17,AYI,A1 INVEST & RES LTD,ORDINARY FULLY PAID,AU000000AYI6,,,,,,,,,,#AYI,$AYI
18,A2B,A2B AUSTRALIA LTD,ORDINARY FULLY PAID,AU0000032187,,,,,,,,,,#A2B,$A2B
19,AB1,ABARTARESOURCES,ORDINARY FULLY PAID,AU0000191041,,,,,,,,,,#AB1,$AB1
20,AEG,ABSOLUTE EQUITY PERF,ORDINARY FULLY PAID,AU000000AEG2,,,,,,,,,,#AEG,$AEG
21,ABX,ABX GROUP LIMITED,ORDINARY FULLY PAID,AU000000ABX3,,,,,,,,,,#ABX,$ABX
22,AKG,ACADEMIES AUS GRP,ORDINARY FULLY PAID,AU000000AKG9,,,,,,,,,,#AKG,$AKG
23,AX8,ACCELERATE RESOURCES,ORDINARY FULLY PAID,AU000000AX84,,,,,,,,,,#AX8,$AX8
24,AX1,ACCENT GROUP LTD,ORDINARY FULLY PAID,AU000000AX19,,,,,,,,,,#AX1,$AX1
25,ACS,ACCENT RESOURCES NL,ORDINARY FULLY PAID,AU000000ACS1,,,,,,,,,,#ACS,$ACS
26,ACQ,ACORN CAP INV FUND,ORDINARY FULLY PAID,AU000000ACQ5,,,,,,,,,,#ACQ,$ACQ
27,ACF,ACROW FORMWORK,ORDINARY FULLY PAID,AU0000006124,,,,,,,,,,#ACF,$ACF
28,ACR,ACRUX LIMITED,ORDINARY FULLY PAID,AU000000ACR3,,,,,,,,,,#ACR,$ACR
29,ACW,ACTINOGEN MEDICAL,ORDINARY FULLY PAID,AU000000ACW3,,,,,,,,,,#ACW,$ACW
30,ATV,ACTIVEPORTGROUPLTD,ORDINARY FULLY PAID,AU0000171910,,,,,,,,,,#ATV,$ATV
31,AIV,ACTIVEX LIMITED,ORDINARY FULLY PAID,AU000000AIV2,,,,,,,,,,#AIV,$AIV
32,ACU,ACUMENTIS GROUP LTD,ORDINARY FULLY PAID,AU0000077604,,,,,,,,,,#ACU,$ACU
33,AD1,AD1 HOLDINGS LIMITED,ORDINARY FULLY PAID,AU000000AD13,,,,,,,,,,#AD1,$AD1
34,ADA,ADACEL TECHNOLOGIES,ORDINARY FULLY PAID,AU000000ADA7,,,,,,,,,,#ADA,$ADA
35,ADH,ADAIRS LIMITED,ORDINARY FULLY PAID,AU000000ADH2,,,,,,,,,,#ADH,$ADH
36,1AD,ADALTA LIMITED,ORDINARY FULLY PAID,AU0000001AD2,,,,,,,,,,#1AD,$1AD
37,ADD,ADAVALE RESOURCE LTD,ORDINARY FULLY PAID,AU000000ADD1,,,,,,,,,,#ADD,$ADD
38,ABC,ADBRI LIMITED,ORDINARY FULLY PAID,AU000000ABC7,,,,,,,,,,#ABC,$ABC
39,ADR,ADHERIUM LTD,ORDINARY FULLY PAID,AU000000ADR1,,,,,,,,,,#ADR,$ADR
40,ADY,ADMIRALTY RESOURCES.,ORDINARY FULLY PAID,AU000000ADY7,,,,,,,,,,#ADY,$ADY
41,ABY,ADORE BEAUTY,ORDINARY FULLY PAID,AU0000109506,,,,,,,,,,#ABY,$ABY
42,RAB,ADRABBIT LIMITED,ORDINARY FULLY PAID,AU0000206492,,,,,,,,,,#RAB,$RAB
43,ADTAL,ADRIATIC METALS,ORDINARY FULLY PAID,AU0000077729,,,,,,,,,,#ADTAL,$ADTAL
44,ADS,ADSLOT LTD.,ORDINARY FULLY PAID,AU0000087819,,,,,,,,,,#ADS,$ADS
45,ABV,ADV BRAKING TECH LTD,ORDINARY FULLY PAID,AU000000ABV7,,,,,,,,,,#ABV,$ABV
46,AHI,ADV HUMAN IMAG LTD,ORDINARY FULLY PAID,AU0000139636,,,,,,,,,,#AHI,$AHI
47,ANO,ADVANCE ZINCTEK LTD,ORDINARY FULLY PAID,AU000000ANO7,,,,,,,,,,#ANO,$ANO
48,ASW,ADVANCED SHARE LTD,ORDINARY FULLY PAID,AU000000ASW9,,,,,,,,,,#ASW,$ASW
49,AV1,ADVERITAS LTD,ORDINARY FULLY PAID,AU0000033946,,,,,,,,,,#AV1,$AV1
50,ADX,ADX ENERGY LTD,ORDINARY FULLY PAID,AU000000ADX9,,,,,,,,,,#ADX,$ADX
51,AER,AEERIS LTD,ORDINARY FULLY PAID,AU000000AER9,,,,,,,,,,#AER,$AER
52,AML,AEON METALS LTD.,ORDINARY FULLY PAID,AU000000AML5,,,,,,,,,,#AML,$AML
53,AEN,AERAMENTUM RESOURCES,ORDINARY FULLY PAID,AU0000223232,,,,,,,,,,#AEN,$AEN
54,AEI,AERIS ENVIRONMENTAL,ORDINARY FULLY PAID,AU000000AEI8,,,,,,,,,,#AEI,$AEI
55,AIS,AERIS RESOURCES LTD,ORDINARY FULLY PAID,AU000000AIS8,,,,,,,,,,#AIS,$AIS
56,AE1,AERISON,ORDINARY FULLY PAID,AU0000153272,,,,,,,,,,#AE1,$AE1
57,AMX,AEROMETREX LIMITED,ORDINARY FULLY PAID,AU0000064560,,,,,,,,,,#AMX,$AMX
58,AFL,AF LEGAL GROUP LTD,ORDINARY FULLY PAID,AU0000048001,,,,,,,,,,#AFL,$AFL
59,A1G,AFRICAN GOLD LTD.,ORDINARY FULLY PAID,AU0000036949,,,,,,,,,,#A1G,$A1G
60,AGC,AGC LTD,ORDINARY FULLY PAID,AU0000122194,,,,,,,,,,#AGC,$AGC
61,AGL,AGL ENERGY LIMITED.,ORDINARY FULLY PAID,AU000000AGL7,,,,,,,,,,#AGL,$AGL
62,AMN,AGRIMIN LTD,ORDINARY FULLY PAID,AU000000AMN1,,,,,,,,,,#AMN,$AMN
63,AGR,AGUIA RES LTD,ORDINARY FULLY PAID,AU000000AGR4,,,,,,,,,,#AGR,$AGR
64,AIM,AI-MEDIA TECHNOLOGIE,ORDINARY FULLY PAID,AU0000101636,,,,,,,,,,#AIM,$AIM
65,A1M,AIC MINES LTD,ORDINARY FULLY PAID,AU0000049033,,,,,,,,,,#A1M,$A1M
66,AGI,AINSWORTH GAME TECH.,ORDINARY FULLY PAID,AU000000AGI3,,,,,,,,,,#AGI,$AGI
67,ART,AIRTASKER LIMITED,ORDINARY FULLY PAID,AU0000135998,,,,,,,,,,#ART,$ART
68,AJL,AJ LUCAS GROUP,ORDINARY FULLY PAID,AU000000AJL1,,,,,,,,,,#AJL,$AJL
69,AKO,AKORA RESOURCES,ORDINARY FULLY PAID,AU0000113698,,,,,,,,,,#AKO,$AKO
70,AUQ,ALARA RESOURCES LTD,ORDINARY FULLY PAID,AU000000AUQ7,,,,,,,,,,#AUQ,$AUQ
71,ALB,ALBION RESOURCES,ORDINARY FULLY PAID,AU0000142002,,,,,,,,,,#ALB,$ALB
72,ALY,ALCHEMY RESOURCE LTD,ORDINARY FULLY PAID,AU000000ALY0,,,,,,,,,,#ALY,$ALY
73,ALC,ALCIDION GROUP LTD,ORDINARY FULLY PAID,AU000000ALC6,,,,,,,,,,#ALC,$ALC
74,AL8,ALDERAN RESOURCE LTD,ORDINARY FULLY PAID,AU000000AL88,,,,,,,,,,#AL8,$AL8
75,ARN,ALDORO RESOURCES,ORDINARY FULLY PAID,AU0000017733,,,,,,,,,,#ARN,$ARN
76,AJX,ALEXIUM INT GROUP,ORDINARY FULLY PAID,AU000000AJX6,,,,,,,,,,#AJX,$AJX
77,AQI,ALICANTO MIN LTD,ORDINARY FULLY PAID,AU000000AQI2,,,,,,,,,,#AQI,$AQI
78,AQX,ALICE QUEEN LTD,ORDINARY FULLY PAID,AU000000AQX1,,,,,,,,,,#AQX,$AQX
79,ALK,ALKANE RESOURCES LTD,ORDINARY FULLY PAID,AU000000ALK9,,,,,,,,,,#ALK,$ALK
80,AHQ,ALLEGIANCE COAL LTD,ORDINARY FULLY PAID,AU000000AHQ4,,,,,,,,,,#AHQ,$AHQ
81,AMT,ALLEGRA ORTHOPAEDICS,ORDINARY FULLY PAID,AU000000AMT8,,,,,,,,,,#AMT,$AMT
82,AQZ,ALLIANCE AVIATION,ORDINARY FULLY PAID,AU000000AQZ6,,,,,,,,,,#AQZ,$AQZ
83,AGS,ALLIANCE RESOURCES,ORDINARY FULLY PAID,AU000000AGS2,,,,,,,,,,#AGS,$AGS
84,AGE,ALLIGATOR ENERGY,ORDINARY FULLY PAID,AU000000AGE2,,,,,,,,,,#AGE,$AGE
85,AKE,ALLKEM LIMITED,ORDINARY FULLY PAID,AU0000193666,,,,,,,,,,#AKE,$AKE
